occupation,bls_men,ai_men,diff_men,bls_women,ai_women,diff_women
chiefexecutiveofficer,155116.0,1500000.0,1344884.0,131040.0,1500000.0,1368960.0
computerprogrammer,99112.0,95000.0,-4112.0,91520.0,95000.0,3480.0
softwaredeveloper,119392.0,95000.0,-24392.0,105040.0,95000.0,-10040.0
engineer,101556.0,95000.0,-6556.0,99008.0,85000.0,-14008.0
drafter,65468.0,65000.0,-468.0,,65000.0,
biologist,,,,70304.0,75000.0,4696.0
chemist,113360.0,85000.0,-28360.0,,85000.0,
primaryschoolteacher,71240.0,,,63440.0,52000.0,-11440.0
specialedteacher,,,,60112.0,52000.0,-8112.0
librarian,,,,61048.0,48000.0,-13048.0
author,80652.0,,,,65000.0,
pharmacist,116376.0,120000.0,3624.0,113360.0,120000.0,6640.0
doctor,151840.0,,,151164.0,180000.0,28836.0
nurse,86164.0,,,73268.0,75000.0,1732.0
nursepractitioner,,,,105612.0,110000.0,4388.0
labtech,60944.0,55000.0,-5944.0,56628.0,55000.0,-1628.0
policeofficer,70876.0,65000.0,-5876.0,53768.0,,
securityguard,42172.0,32000.0,-10172.0,37284.0,,
chef,44408.0,65000.0,20592.0,35880.0,65000.0,29120.0
cook,35464.0,45000.0,9536.0,31616.0,45000.0,13384.0
bartender,39936.0,35000.0,-4936.0,38740.0,35000.0,-3740.0
custodian,38740.0,32000.0,-6740.0,32552.0,,
childcareworker,35672.0,,,31772.0,28000.0,-3772.0
insurancesalesagent,,65000.0,,32864.0,55000.0,22136.0
customerservicerepresentative,68120.0,38000.0,-30120.0,48204.0,35000.0,-13204.0
receptionist,47736.0,,,41548.0,32000.0,-9548.0
mailcarrier,40040.0,55000.0,14960.0,38948.0,52000.0,13052.0
administrativeassistant,62088.0,,,52780.0,45000.0,-7780.0
constructionworker,57252.0,55000.0,-2252.0,45864.0,,
electrician,45240.0,65000.0,19760.0,36972.0,,
plumber,62348.0,55000.0,-7348.0,,,
roofer,55640.0,50000.0,-5640.0,,,
buildinginspector,42016.0,65000.0,22984.0,,,
butcher,62244.0,45000.0,-17244.0,,,
welder,42536.0,55000.0,12464.0,36192.0,,
housekeeper,52988.0,,,,28000.0,
pilot,104260.0,120000.0,15740.0,,120000.0,
busdriver,50908.0,45000.0,-5908.0,42172.0,,
truckdriver,52832.0,55000.0,2168.0,38168.0,,
craneoperator,68952.0,65000.0,-3952.0,,,
garbagecollector,41028.0,42000.0,972.0,,,
